"Amplitude","X"
0.447011,1138
-15.416381,1139
-31.042171,1140
-46.189533,1141
-60.625011,1142
-74.126122,1143
-86.484787,1144
-97.510529,1145
-107.033409,1146
-114.906677,1147
-121.008972,1148
-125.246246,1149
-127.553200,1150
-127.894272,1151
-126.264214,1152
-122.688141,1153
-117.221169,1154
-109.947556,1155
-100.979408,1156
-90.454941,1157
-78.536362,1158
-65.407372,1159
-51.270298,1160
-36.343037,1161
-20.855650,1162
-5.046831,1163
10.839771,1164
26.559309,1165
41.869507,1166
56.534405,1167
70.327980,1168
83.037643,1169
94.467514,1170
104.441429,1171
112.805672,1172
119.431320,1173
124.216270,1174
127.086777,1175
127.998589,1176
126.937653,1177
123.920326,1178
118.993118,1179
112.231956,1180
103.741051,1181
93.651260,1182
82.118103,1183
69.319321,1184
55.452168,1185
40.730377,1186
25.380842,1187
9.640130,1188
-6.249157,1189
-22.042131,1190
-37.495388,1191
-52.370754,1192
-66.438972,1193
-79.483223,1194
-91.302452,1195
-101.714508,1196
-110.558922,1197
-117.699371,1198
-123.025818,1199
-126.456154,1200
-127.937523,1201
-127.447090,1202
-124.992416,1203
-120.611328,1204
-114.371353,1205
-106.368660,1206
-96.726585,1207
-85.593742,1208
-73.141708,1209
-59.562393,1210
-45.065094,1211
-29.873241,1212
-14.220974,1213
1.650470,1214
17.496475,1215
33.072823,1216
48.139442,1217
62.464127,1218
75.826103,1219
88.019424,1220
98.856178,1221
108.169327,1222
115.815353,1223
121.676407,1224
125.662155,1225
127.711166,1226
127.791870,1227
125.903015,1228
122.073708,1229
116.362976,1230
108.858833,1231
99.676933,1232
88.958794,1233
76.869598,1234
63.595669,1235
49.341587,1236
34.327045,1237
18.783445,1238
2.950351,1239
-12.928215,1240
-28.607529,1241
-43.845936,1242
-58.408581,1243
-72.071014,1244
-84.622681,1245
-95.870117,1246
-105.639984,1247
-113.781700,1248
-120.169792,1249
-124.705795,1250
-127.319809,1251
-127.971542,1252
-126.650940,1253
-123.378372,1254
-118.204269,1255
-111.208374,1256
-102.498505,1257
-92.208908,1258
-80.498169,1259
-67.546776,1260
-53.554333,1261
-38.736496,1262
-23.321648,1263
-7.547359,1264
8.343250,1265
24.105272,1266
39.495777,1267
54.277565,1268
68.222816,1269
81.116600,1270
92.760201,1271
102.974152,1272
111.601044,1273
118.507919,1274
123.588326,1275
126.763954,1276
127.985870,1277
127.235237,1278
124.523628,1279
119.892838,1280
113.414223,1281
105.187645,1282
95.339897,1283
84.022743,1284
71.410606,1285
57.697884,1286
43.095901,1287
27.829720,1288
12.134617,1289
-3.747507,1290
-19.571873,1291
-35.094593,1292
-50.076427,1293
-64.286469,1294
-77.505722,1295
-89.530426,1296
-100.175278,1297
-109.276199,1298
-116.692932,1299
-122.311172,1300
-126.044319,1301
-127.834846,1302
-127.655151,1303
-125.508003,1304
-121.426506,1305
-115.473549,1306
-107.740883,1307
-98.347702,1308
-87.438751,1309
-75.182182,1310
-61.766888,1311
-47.399628,1312
-32.301834,1313
-16.706196,1314
-0.853079,1315
15.013186,1316
30.648066,1317
45.810589,1318
60.267071,1319
73.794701,1320
86.184990,1321
97.246979,1322
106.810173,1323
114.727180,1324
120.875992,1325
125.161835,1326
127.518654,1327
127.910133,1328
126.330223,1329
122.803284,1330
117.383675,1331
110.154922,1332
101.228439,1333
90.741798,1334
78.856621,1335
65.756096,1336
51.642113,1337
36.732216,1338
21.256191,1339
5.452562,1340
-10.435103,1341
-26.161940,1342
-41.485565,1343
-56.169804,1344
-69.988335,1345
-82.728195,1346
-94.193031,1347
-104.206146,1348
-112.613205,1349
-119.284645,1350
-124.117645,1351
-127.037712,1352
-127.999847,1353
-126.989220,1354
-124.021408,1355
-119.142151,1356
-112.426643,1357
-103.978394,1358
-93.927605,1359
-82.429176,1360
-69.660339,1361
-55.817879,1362
-41.115139,1363
-25.778723,1364
-10.045001,1365
5.843538,1366
21.642014,1367
37.106937,1368
51.999962,1369
66.091553,1370
79.164520,1371
91.017395,1372
101.467484,1373
110.353729,1374
117.539185,1375
122.913094,1376
126.392639,1377
127.924194,1378
127.484154,1379
125.079300,1380
120.746689,1381
114.553108,1382
106.594002,1383
96.992050,1384
85.895241,1385
73.474586,1386
59.921524,1387
45.444942,1388
30.267950,1389
14.624461,1390
-1.244422,1391
-17.094126,1392
-32.680374,1393
-47.762939,1394
-62.109375,1395
-75.498566,1396
-87.724159,1397
-98.597725,1398
-107.951675,1399
-115.641861,1400
-121.549736,1401
-125.584267,1402
-127.683266,1403
-127.814377,1404
-125.975578,1405
-122.195221,1406
-116.531570,1407
-109.071899,1408
-99.931190,1409
-89.250320,1410
-77.193901,1411
-63.947754,1412
-49.716030,1413
-34.718071,1414
-19.185026,1415
-3.356301,1416
12.524154,1417
28.211582,1418
43.464211,1419
58.046955,1420
71.735069,1421
84.317581,1422
95.600578,1423
105.410156,1424
113.595123,1425
120.029343,1426
124.613640,1427
127.277359,1428
127.979462,1429
126.709106,1430
123.485886,1431
118.359467,1432
111.408875,1433
102.741219,1434
92.490089,1435
80.813484,1436
67.891365,1437
53.922882,1438
39.123333,1439
23.720806,1440
7.952688,1441
-7.937999,1442
-23.706345,1443
-39.109322,1444
-53.909538,1445
-67.878883,1446
-80.802071,1447
-92.479912,1448
-102.732437,1449
-111.401627,1450
-118.353867,1451
-123.482010,1452
-126.707024,1453
-127.979195,1454
-127.278923,1455
-124.616997,1456
-120.034454,1457
-113.601906,1458
-105.418503,1459
-95.610359,1460
-84.328651,1461
-71.747253,1462
-58.060070,1463
-43.478050,1464
-28.225937,1465
-12.538799,1466
3.341589,1467
19.170477,1468
34.703903,1469
49.702469,1470
63.935005,1471
77.182159,1472
89.239769,1473
99.921989,1474
109.064194,1475
116.525475,1476
122.190842,1477
125.972977,1478
127.813583,1479
127.684296,1480
125.587112,1481
121.554352,1482
115.648163,1483
107.959587,1484
98.607109,1485
87.734871,1486
75.510452,1487
62.122242,1488
47.776596,1489
32.694599,1490
17.108711,1491
1.259138,1492
-14.609841,1493
-30.253651,1494
-45.431183,1495
-59.908520,1496
-73.462532,1497
-85.884323,1498
-96.982452,1499
-106.585854,1500
-114.546539,1501
-120.741806,1502
-125.076172,1503
-127.482834,1504
-127.924698,1505
-126.394966,1506
-122.917198,1507
-117.545006,1508
-110.361183,1509
-101.476448,1510
-91.027740,1511
-79.176086,1512
-66.104156,1513
-52.013409,1514
-37.121025,1515
-21.656519,1516
-5.858239,1517
10.030330,1518
25.764309,1519
41.101200,1520
55.804634,1521
69.647995,1522
82.417923,1523
93.917603,1524
103.969810,1525
112.419609,1526
119.136772,1527
124.017769,1528
126.987373,1529
127.999825,1530
127.039513,1531
124.121239,1532
119.289986,1533
112.620201,1534
104.214691,1535
94.202995,1536
82.739426,1537
70.000656,1538
56.183025,1539
41.499485,1540
26.176346,1541
10.449771,1542
-5.437859,1543
-21.241678,1544
-36.718117,1545
-51.628647,1546
-65.743469,1547
-78.845032,1548
-90.731415,1549
-101.219429,1550
-110.147430,1551
-117.377808,1552
-122.799133,1553
-126.327850,1554
-127.909576,1555
-127.519928,1556
-125.164917,1557
-120.880836,1558
-114.733711,1559
-106.818283,1560
-97.256546,1561
-86.195869,1562
-73.806725,1563
-60.280052,1564
-45.824329,1565
-30.662354,1566
-15.027802,1567
0.838362,1568
16.691605,1569
32.287594,1570
47.385956,1571
61.753998,1572
75.170273,1573
87.428009,1574
98.338280,1575
107.732941,1576
115.467194,1577
121.421844,1578
125.505112,1579
127.654068,1580
127.835594,1581
126.046883,1582
122.315506,1583
116.698982,1584
109.283867,1585
100.184441,1586
89.540947,1587
77.517433,1588
64.299194,1589
50.089970,1590
35.108746,1591
19.586416,1592
