
0
"112,231956"
"103,741051"
"93,65126"
"82,118103"
"69,319321"
"55,452168"
"40,730377"
"25,380842"
"9,64013"
"-6,249157"
"-22,042131"
"-37,495388"
"-52,370754"
"-66,438972"
"-79,483223"
"-91,302452"
"-101,714508"
"-110,558922"
"-117,699371"
"-123,025818"
"-126,456154"
"-127,937523"
"-127,44709"
"-124,992416"
"-120,611328"
"-114,371353"
"-106,36866"
"-96,726585"
"-85,593742"
"-73,141708"
"-59,562393"
"-45,065094"
"-29,873241"
"-14,220974"
"1,65047"
"17,496475"
"33,072823"
"48,139442"
"62,464127"
"75,826103"
"88,019424"
"98,856178"
"108,169327"
"115,815353"
"121,676407"
"125,662155"
"127,711166"
"127,79187"
"125,903015"
"122,073708"
"116,362976"
"108,858833"
"99,676933"
"88,958794"
"76,869598"
"63,595669"
"49,341587"
"34,327045"
"18,783445"
"2,950351"
"-12,928215"
"-28,607529"
"-43,845936"
"-58,408581"
"-72,071014"
"-84,622681"
"-95,870117"
"-105,639984"
"-113,7817"
"-120,169792"
"-124,705795"
"-127,319809"
"-127,971542"
"-126,65094"
"-123,378372"
"-118,204269"
"-111,208374"
"-102,498505"
"-92,208908"
"-80,498169"
"-67,546776"
"-53,554333"
"-38,736496"
"-23,321648"
"-7,547359"
"8,34325"
"24,105272"
"39,495777"
"54,277565"
"68,222816"
"81,1166"
"92,760201"
"102,974152"
"111,601044"
"118,507919"
"123,588326"
"126,763954"
"127,98587"
"127,235237"
"124,523628"
"119,892838"
"113,414223"
"105,187645"
"95,339897"
"84,022743"
"71,410606"
"57,697884"
"43,095901"
"27,82972"
"12,134617"
"-3,747507"
"-19,571873"
"-35,094593"
"-50,076427"
"-64,286469"
"-77,505722"
"-89,530426"
"-100,175278"
"-109,276199"
"-116,692932"
"-122,311172"
"-126,044319"
"-127,834846"
"-127,655151"
"-125,508003"
"-121,426506"
"-115,473549"
"-107,740883"
"-98,347702"
"-87,438751"
"-75,182182"
"-61,766888"
"-47,399628"
"-32,301834"
"-16,706196"
"-0,853079"
"15,013186"
"30,648066"
"45,810589"
"60,267071"
"73,794701"
"86,18499"
"97,246979"
"106,810173"
"114,72718"
"120,875992"
"125,161835"
"127,518654"
"127,910133"
"126,330223"
"122,803284"
"117,383675"
"110,154922"
"101,228439"
"90,741798"
"78,856621"
"65,756096"
"51,642113"
"36,732216"
"21,256191"
"5,452562"
"-10,435103"
"-26,16194"
"-41,485565"
"-56,169804"
"-69,988335"
"-82,728195"
"-94,193031"
"-104,206146"
"-112,613205"
"-119,284645"
"-124,117645"
"-127,037712"
"-127,999847"
"-126,98922"
"-124,021408"
"-119,142151"
"-112,426643"
"-103,978394"
"-93,927605"
"-82,429176"
"-69,660339"
"-55,817879"
"-41,115139"
"-25,778723"
"-10,045001"
"5,843538"
"21,642014"
"37,106937"
"51,999962"
"66,091553"
"79,16452"
"91,017395"
"101,467484"
"110,353729"
"117,539185"
"122,913094"
"126,392639"
"127,924194"
"127,484154"
"125,0793"
"120,746689"
"114,553108"
"106,594002"
"96,99205"
"85,895241"
"73,474586"
"59,921524"
"45,444942"
"30,26795"
"14,624461"
"-1,244422"
"-17,094126"
"-32,680374"
"-47,762939"
"-62,109375"
"-75,498566"
"-87,724159"
"-98,597725"
"-107,951675"
"-115,641861"
"-121,549736"
"-125,584267"
"-127,683266"
"-127,814377"
"-125,975578"
"-122,195221"
"-116,53157"
"-109,071899"
"-99,93119"
"-89,25032"
"-77,193901"
"-63,947754"
"-49,71603"
"-34,718071"
"-19,185026"
"-3,356301"
"12,524154"
"28,211582"
"43,464211"
"58,046955"
"71,735069"
"84,317581"
"95,600578"
"105,410156"
"113,595123"
"120,029343"
"124,61364"
"127,277359"
"127,979462"
"126,709106"
"123,485886"
"118,359467"
"111,408875"
"102,741219"
"92,490089"
"80,813484"
"67,891365"
"53,922882"
"39,123333"
"23,720806"
"7,952688"
"-7,937999"
"-23,706345"
"-39,109322"
"-53,909538"
"-67,878883"
"-80,802071"
"-92,479912"
"-102,732437"
"-111,401627"
"-118,353867"
"-123,48201"
"-126,707024"
"-127,979195"
"-127,278923"
"-124,616997"
"-120,034454"
"-113,601906"
"-105,418503"
"-95,610359"
"-84,328651"
"-71,747253"
"-58,06007"
"-43,47805"
"-28,225937"
"-12,538799"
"3,341589"
"19,170477"
"34,703903"
"49,702469"
"63,935005"
"77,182159"
"89,239769"
"99,921989"
"109,064194"
"116,525475"
"122,190842"
"125,972977"
"127,813583"
"127,684296"
"125,587112"
"121,554352"
"115,648163"
"107,959587"
"98,607109"
"87,734871"
"75,510452"
"62,122242"
"47,776596"
"32,694599"
"17,108711"
"1,259138"
"-14,609841"
"-30,253651"
"-45,431183"
"-59,90852"
"-73,462532"
"-85,884323"
"-96,982452"
"-106,585854"
"-114,546539"
"-120,741806"
"-125,076172"
"-127,482834"
"-127,924698"
"-126,394966"
"-122,917198"
"-117,545006"
"-110,361183"
"-101,476448"
"-91,02774"
"-79,176086"
"-66,104156"
"-52,013409"
"-37,121025"
"-21,656519"
"-5,858239"
"10,03033"
"25,764309"
"41,1012"
"55,804634"
"69,647995"
"82,417923"
"93,917603"
"103,96981"
"112,419609"
"119,136772"
"124,017769"
"126,987373"
"127,999825"
"127,039513"
"124,121239"
"119,289986"
"112,620201"
"104,214691"
"94,202995"
"82,739426"
"70,000656"
"56,183025"
"41,499485"
"26,176346"
"10,449771"
"-5,437859"
"-21,241678"
"-36,718117"
"-51,628647"
"-65,743469"
"-78,845032"
"-90,731415"
"-101,219429"
"-110,14743"
"-117,377808"
"-122,799133"
"-126,32785"
"-127,909576"
"-127,519928"
"-125,164917"
"-120,880836"
"-114,733711"
"-106,818283"
"-97,256546"
"-86,195869"
"-73,806725"
"-60,280052"
"-45,824329"
"-30,662354"
"-15,027802"
"0,838362"
"16,691605"
"32,287594"
"47,385956"
"61,753998"
"75,170273"
"87,428009"
"98,33828"
"107,732941"
"115,467194"
"121,421844"
"125,505112"
"127,654068"
"127,835594"
"126,046883"
"122,315506"
"116,698982"
"109,283867"
"100,184441"
"89,540947"
"77,517433"
"64,299194"
"50,08997"
"35,108746"
"19,586416"
"3,762217"
"-12,119967"
"-27,815353"
"-43,082047"
"-57,684746"
"-71,398399"
"-84,011635"
"-95,33007"
"-105,17926"
"-113,407402"
"-119,88768"
"-124,520226"
"-127,233635"
"-127,986092"
"-126,765991"
"-123,592155"
"-118,513481"
"-111,608253"
"-102,982895"
"-92,77034"
"-81,127983"
"-68,235268"
"-54,290894"
"-39,509777"
"-24,119726"
"-8,357936"
"7,532668"
"23,307177"
"38,722469"
"53,540966"
"67,534271"
"80,486725"
"92,1987"
"102,489693"
"111,20108"
"118,198624"
"123,374451"
"126,648811"
"127,97123"
"127,321327"
"124,709114"
"120,174858"
"113,788445"
"105,648293"
"95,879868"
"84,63372"
"72,083176"
"58,421673"
"43,85976"
"28,621872"
"12,942856"
"-2,935638"
"-18,768887"
"-34,312866"
"-49,328007"
"-63,582893"
"-76,857826"
"-88,948212"
"-99,667702"
"-108,851097"
"-116,35685"
"-122,069283"
"-125,90036"
"-127,791031"
"-127,712158"
"-125,664955"
"-121,680977"
"-115,821617"
"-108,1772"
"-98,865524"
"-88,030113"
"-75,837959"
"-62,476974"
"-48,15308"
"-33,08704"
"-17,511055"
"-1,665185"
"14,206348"
"29,858931"
"45,051319"
